end_date,invested_amount,final_value,xirr,max_drawdown,max_drawdown_date
2018-10-19,420000,437864.77416689246,1.1476569057740376,9.045825973874726,2013-04-19
2018-10-20,420000,437367.9297143305,1.1163971872002905,9.12343643944537,2013-04-20
2018-10-21,420000,437198.8933640154,1.1057536651812587,8.787347931873475,2013-04-21
2018-10-22,420000,437444.02818276995,1.1211874100324637,8.898177399756985,2013-04-22
2018-10-23,420000,442131.8866430244,1.41463358853752,9.255753127866813,2013-04-23
2018-10-26,420000,439256.7725705373,1.2350423051822819,8.992662034555662,2014-05-26
2018-10-27,420000,437052.9321044949,1.0965596732700693,9.312297182727992,2014-05-27
2018-10-28,420000,437255.7898683291,1.1093366769672348,10.362805383123648,2014-05-28
2018-10-29,420000,437785.070907402,1.1425939163653671,10.765173581043841,2014-05-29
2018-11-03,420000,440709.91600797203,1.3254065615828832,10.22706114089159,2014-06-03
2018-11-04,420000,440811.1459683666,1.3317261631063992,10.371118058073538,2014-06-04
2018-11-05,420000,440798.140709228,1.3309143522030542,11.25799907881972,2014-06-05
2018-11-07,420000,433616.0467043877,0.878783576971444,11.384190744655857,2014-06-07
2018-11-10,420000,430997.7248443827,0.7120302296786314,9.75344922050108,2014-06-10
2018-11-11,420000,430759.1232841714,0.6967824456112037,9.19460078697017,2014-06-11
2018-11-12,420000,430600.63837126334,0.6866496804518227,9.682721522139774,2014-06-12
2018-11-13,420000,429621.9078272689,0.6239889184493123,8.577099145282086,2014-06-13
2018-11-14,420000,425783.663998596,0.37682421128245114,7.027312671866284,2013-04-14
2018-11-17,420000,427581.47586757905,0.4928800708970628,11.087345414949048,2013-04-17
2018-11-18,420000,427808.34753005754,0.5074896975407173,11.790269891887684,2013-04-18
2018-11-19,420000,427643.3631957041,0.49686616114487286,9.04582597387473,2013-04-19
2018-11-20,420000,427056.7916420579,0.4590618089034562,9.123436439445362,2013-04-20
2018-11-21,420000,425340.48665865883,0.3481375641484702,8.787347931873484,2013-04-21
2018-11-24,420000,424949.92033237603,0.3228307811388966,8.51480686905496,2014-05-24
2018-11-25,420000,425065.1242709715,0.3302979304399036,8.514806869054954,2014-05-25
2018-11-28,420000,420523.55914360186,0.03433181666179046,10.36280538312365,2014-05-28
2018-11-30,420000,417949.24009128375,-0.13494917238721524,9.946265607041486,2014-05-31
2018-12-01,420000,423315.95636127645,0.21676858037336724,11.374929909704365,2014-06-01
2018-12-02,420000,422856.144554092,0.18681516547539695,11.374929909704367,2014-06-02
2018-12-03,420000,422907.83028097043,0.19018379690495563,10.227061140891578,2014-06-03
2018-12-04,420000,428353.4266768191,0.5427378694249305,10.371118058073549,2014-06-04
2018-12-08,420000,434326.5008236216,0.924156949747486,10.530372654235006,2014-06-08
2018-12-09,420000,434181.18885863683,0.9149422476817883,10.186002678438582,2014-06-09
2018-12-11,420000,436722.70608947234,1.0756512980845834,9.194600786970163,2014-06-11
2018-12-14,420000,434387.6972647418,0.9280366626556714,7.0273126718662775,2013-04-14
2018-12-15,420000,433204.3837865899,0.8529171888182274,7.224327174719725,2013-04-15
2018-12-16,420000,433337.59706896776,0.8613844422382367,11.648323870265218,2013-04-16
2018-12-17,420000,433284.4368224076,0.8580058123275928,11.087345414949054,2013-04-17
2018-12-18,420000,430284.26601549203,0.6666316999150268,11.790269891887693,2013-04-18
2018-12-21,420000,429849.7616100087,0.638801515513388,8.787347931873486,2013-04-21
2018-12-22,420000,430066.4634065989,0.6526849827004775,8.898177399756985,2013-04-22
2018-12-23,420000,429894.5731065418,0.641673053107306,9.255753127866821,2013-04-23
2018-12-24,420000,429734.5890266462,0.6314197946296383,8.514806869054976,2014-05-24
2018-12-25,420000,434183.3317744806,0.9150781600192833,8.51480686905497,2014-05-25
2018-12-28,420000,435199.9103939703,0.9794757745926586,10.362805383123641,2014-05-28
2018-12-29,420000,435218.7083885986,0.9806213818026089,10.765173581043838,2014-05-29
2018-12-30,420000,435401.312253047,0.992109213166693,10.007171134709296,2014-05-30
2019-01-01,420000,435374.65283252223,0.9901135878653584,11.374929909704353,2014-06-01
2019-01-02,420000,437215.50764540693,1.1062367117173166,11.374929909704365,2014-06-02
2019-01-05,420000,439124.7917733777,1.226145318860953,11.257999078819699,2014-06-05
2019-01-07,420000,438885.6814557516,1.2111579484673347,11.384190744655855,2014-06-07
2019-01-08,420000,437295.4833769195,1.1112702389213585,10.530372654234995,2014-06-08
2019-01-09,420000,440273.9074764477,1.2980545076676557,10.186002678438586,2014-06-09
2019-01-12,420000,444890.89198359195,1.5850404619212242,9.682721522139774,2014-06-12
2019-01-13,420000,445277.47305591253,1.608930645556432,8.577099145282089,2014-06-13
2019-01-14,420000,445175.4177879812,1.6026258424914972,7.027312671866279,2013-04-14
2019-01-15,420000,445052.1481329587,1.5950084673529312,7.224327174719729,2013-04-15
2019-01-16,420000,446934.050105578,1.7110638385842536,11.648323870265239,2013-04-16
2019-01-19,420000,443745.3109738176,1.5141194953568935,9.045825973874743,2013-04-19
2019-01-20,420000,443729.63227515,1.5131475475595717,9.123436439445372,2013-04-20
2019-01-21,420000,443655.8708091632,1.5085744811454203,8.787347931873493,2013-04-21
2019-01-22,420000,445972.4921393064,1.651828267346397,8.898177399756998,2013-04-22
2019-01-23,420000,445230.11278983153,1.60600499272309,9.255753127866804,2013-04-23
2019-01-26,420000,450909.1290749116,1.9545610919846197,8.992662034555677,2014-05-26
2019-01-27,420000,451064.4658356471,1.964031553306594,9.312297182727985,2014-05-27
2019-01-28,420000,451356.42062070663,1.9818221823812834,10.362805383123646,2014-05-28
2019-01-29,420000,452977.38193219644,2.080290897885146,10.76517358104384,2014-05-29
2019-01-30,420000,453539.33904895454,2.1142419652714315,10.007171134709283,2014-05-30
2019-02-02,420000,457831.4478782058,2.372390592353658,11.374929909704361,2014-06-02
2019-02-03,420000,457893.8520580096,2.3761350301506976,10.227061140891584,2014-06-03
2019-02-04,420000,458032.2343222509,2.3844365138871884,10.371118058073549,2014-06-04
2019-02-05,420000,459084.99222083663,2.4475068523307155,11.257999078819712,2014-06-05
2019-02-06,420000,458594.07064817887,2.418114396993173,10.88767849256588,2014-06-06
2019-02-09,420000,452403.0390625087,2.044649574928734,10.186002678438589,2014-06-09
2019-02-10,420000,452504.96028217836,2.0508401899400184,9.753449220501073,2014-06-10
2019-02-11,420000,452198.48593389185,2.032220855536725,9.194600786970165,2014-06-11
2019-02-12,420000,452608.2222959511,2.0571107837295943,9.68272152213978,2014-06-12
2019-02-13,420000,451335.6754221156,1.9797325707609508,8.5770991452821,2014-06-13
2019-02-16,420000,459614.275793894,2.4791600354138965,11.648323870265228,2013-04-16
2019-02-17,420000,459532.27294680715,2.474258398690996,11.087345414949056,2013-04-17
2019-02-18,420000,459707.5739699874,2.4847357486853068,11.79026989188769,2013-04-18
2019-02-19,420000,464185.62692948646,2.750999603704674,9.045825973874727,2013-04-19
2019-02-20,420000,464194.2951393711,2.751512457117521,9.123436439445364,2013-04-20
2019-02-23,420000,457798.41623341787,2.370408382801788,9.25575312786683,2013-04-23
2019-02-24,420000,457631.6902793315,2.360401017109005,8.51480686905496,2014-05-24
