end_date,invested_amount,final_value,xirr,max_drawdown,max_drawdown_date
2017-08-05,600000,2070984.9535213644,23.079815705865627,14.811529933481149,2008-10-05
2017-08-06,600000,2073504.7760636373,23.101994219587027,16.124414367516923,2008-11-06
2017-08-09,600000,2025514.7138007695,22.674890447163897,25.573482603446394,2008-10-09
2017-08-10,600000,1978005.1287989928,22.24194769947874,25.204059121994277,2008-10-10
2017-08-11,600000,1972530.7034797876,22.19139132767674,20.40062667860341,2008-10-11
2017-08-12,600000,2019031.297559621,22.616412740702593,19.59077549174768,2008-10-12
2017-08-13,600000,2017540.836836853,22.602942784348837,18.77845220030349,2008-02-13
2017-08-16,600000,2030216.7963551152,22.717183956176523,19.593410445145466,2008-10-16
2017-08-17,600000,2035929.4153402254,22.768434927697356,20.464458328421554,2008-10-17
2017-08-18,600000,2019264.4493157752,22.61851893466594,20.764768556884107,2008-10-18
2017-08-19,600000,1999390.7791592688,22.43810692174064,23.095484315753186,2008-10-19
2017-08-20,600000,2002399.4273526138,22.465534527881502,23.166111812650673,2008-10-20
2017-08-23,600000,2016698.491796309,22.59532572249354,23.089564502875923,2008-10-23
2017-08-24,600000,2021484.9780279032,22.63856603340298,28.39822802518068,2008-10-24
2017-08-25,600000,2036799.8854864708,22.776231722954343,31.932282545242263,2008-10-25
2017-08-26,600000,2035758.4503221149,22.76690320256517,30.37974683544304,2008-10-26
2017-08-27,600000,2033731.4009177447,22.74873244472512,28.510116492949113,2008-10-27
2017-08-30,600000,2020237.7391259514,22.625942957648263,23.914092664092664,2008-10-30
2017-08-31,600000,2026022.0056400918,22.673914344623864,23.914092664092667,2008-10-31
2017-09-01,600000,2036846.9719570165,22.77108890523956,21.586804719479883,2008-11-01
2017-09-02,600000,2014582.8426420693,22.570658792016577,19.612441372500623,2008-11-02
2017-09-03,600000,2012315.5174882375,22.5501229738899,19.61244137250062,2008-11-03
2017-09-06,600000,2025758.6027945997,22.671543323172045,16.124414367516916,2008-11-06
2017-09-07,600000,2032502.3816747107,22.732150329624975,16.53905053598774,2008-10-07
2017-09-08,600000,2029413.1725380945,22.704412367265203,19.733099978122947,2008-10-08
2017-09-09,600000,2047519.2655640012,22.866387475683915,25.573482603446397,2008-10-09
2017-09-10,600000,2046705.6126286867,22.859139486699863,25.204059121994273,2008-10-10
2017-09-13,600000,2060477.6988815435,22.9814333401203,18.778452200303487,2008-02-13
2017-09-14,600000,2063076.7318100573,23.004420450379023,15.705614567526549,2008-02-14
2017-09-16,600000,2083121.360263076,23.18073667291929,19.59341044514545,2008-10-16
2017-09-17,600000,2082941.2397660278,23.17915987581159,20.46445832842155,2008-10-17
2017-09-20,600000,2086550.6574374216,23.210731159953717,23.16611181265067,2008-10-20
2017-09-21,600000,2086992.8219010478,23.21459497781765,21.065319710710593,2008-10-21
2017-09-22,600000,2042638.538041604,22.82286679891346,23.212030765698547,2008-10-22
2017-09-23,600000,2019285.842798406,22.61318140506745,23.089564502875927,2008-10-23
2017-09-24,600000,2021245.957643671,22.630874646017986,28.398228025180686,2008-10-24
2017-09-27,600000,1993804.279095373,22.381587621714562,28.510116492949116,2008-10-27
2017-09-28,600000,2000846.6664978028,22.44588929190457,26.302881667688528,2008-10-28
2017-09-29,600000,2016629.4870394813,22.588628408273454,26.30288166768853,2008-10-29
2017-09-30,600000,2016126.7067975078,22.58324222037671,23.914092664092667,2008-10-30
2017-09-30,600000,2013166.417589535,22.562384227678557,23.914092664092667,2008-10-31
