end_date,invested_amount,final_value,xirr,max_drawdown,max_drawdown_date
2023-06-28,600000,1651602.0032580378,18.954826634042924,21.765093045745196,2020-03-28
2023-06-29,600000,1659417.8639248686,19.04057786847692,21.476074135856685,2020-03-29
2023-06-30,600000,1658325.6144969957,19.02785282348502,21.47607413585669,2020-03-30
2023-06-30,600000,1656577.0307702713,19.013690741240687,19.32927864423795,2020-03-31
2023-07-03,600000,1661280.770114226,19.065528633352958,22.90009066183136,2020-04-03
2023-07-04,600000,1663113.7787497086,19.085689047211385,17.08567082915432,2020-04-04
2023-07-05,600000,1671753.3412831482,19.18040855289515,17.80826407755676,2020-04-05
2023-07-06,600000,1676455.1622123586,19.231748006896858,15.857505033181717,2020-04-06
2023-07-07,600000,1663026.5607741293,19.08473028890431,13.116773624782962,2020-04-07
2023-07-10,600000,1649202.7932614998,18.93212046019045,10.372308339279366,2020-03-10
2023-07-11,600000,1654649.6674579086,18.992406864832574,11.019779618095956,2020-03-11
2023-07-12,600000,1662902.290795702,19.083364141918487,16.195048608382184,2020-03-12
2023-07-13,600000,1667025.9339826577,19.12864160363646,17.470568357528318,2020-03-13
2023-07-14,600000,1675015.1633398512,19.21604013152037,18.71500997140729,2020-03-14
2023-07-17,600000,1676498.9172894594,19.23222508386835,21.85668355350203,2020-03-17
2023-07-18,600000,1675359.5292792635,19.219797810764348,22.982031147845586,2020-03-18
2023-07-19,600000,1680800.0913370615,19.279060673872817,25.627675457027003,2020-03-19
2023-07-20,600000,1679356.6114228943,19.263356170710715,24.462236930271985,2020-03-20
2023-07-21,600000,1668575.3363077722,19.1456245771518,29.881650643806626,2020-03-21
2023-07-24,600000,1666641.1383352242,19.124421378365344,30.04720091625308,2020-03-24
2023-07-25,600000,1672261.6951403562,19.18596636597044,25.484530269927404,2020-03-25
2023-07-26,600000,1678825.0434345056,19.257569462336548,23.354113197835265,2020-03-26
2023-07-27,600000,1676287.895423155,19.22992412175062,21.930927562531696,2020-03-27
2023-07-28,600000,1682737.3739751729,19.300116045609577,21.76509304574519,2020-03-28
2023-08-01,600000,1684341.1293511905,19.31255364273786,20.57520980801735,2020-04-01
2023-08-02,600000,1661971.4837300123,19.06821029145255,21.53770639425455,2020-04-02
2023-08-03,600000,1656424.8645034612,19.007107561650194,22.90009066183137,2020-04-03
2023-08-04,600000,1667064.3034699995,19.12413161909124,17.085670829154324,2020-04-04
2023-08-05,600000,1673617.9938400255,19.19583903785599,17.808264077556757,2020-04-05
2023-08-08,600000,1667031.9839389657,19.12377728456317,12.007283674482887,2020-04-08
2023-08-09,600000,1664450.4493943714,19.095452110411387,10.461585128348315,2020-03-09
2023-08-10,600000,1659327.8429321381,19.039113282448,10.37230833927939,2020-03-10
2023-08-11,600000,1655887.4839494715,19.00117661549436,11.01977961809596,2020-03-11
2023-08-12,600000,1661225.1272175922,19.060000350323488,16.195048608382166,2020-03-12
2023-08-15,600000,1654581.167078365,18.9867509310288,18.830078218724505,2020-03-15
2023-08-16,600000,1654570.78894262,18.986636278701805,18.8300782187245,2020-03-16
2023-08-17,600000,1639322.773978099,18.81738918844141,21.856683553502027,2020-03-17
2023-08-18,600000,1628959.0266892074,18.701438882910576,22.982031147845593,2020-03-18
2023-08-19,600000,1642059.1957505343,18.84787999945969,25.62767545702699,2020-03-19
2023-08-22,600000,1644855.5260268494,18.87898499232232,29.881650643806616,2020-03-22
2023-08-23,600000,1653707.2188307985,18.977093435824248,29.881650643806616,2020-03-23
2023-08-24,600000,1646741.952934356,18.89993830321506,30.047200916253082,2020-03-24
2023-08-25,600000,1639958.941361811,18.82448235453546,25.484530269927415,2020-03-25
2023-08-26,600000,1647116.5094245772,18.904095749439712,23.35411319783527,2020-03-26
2023-08-29,600000,1650751.4111207346,18.94382971339174,21.47607413585668,2020-03-29
2023-08-30,600000,1652223.7841664641,18.9594181866057,21.47607413585668,2020-03-30
2023-08-31,600000,1652477.656320081,18.95866154604655,19.32927864423794,2020-03-31
2023-09-01,600000,1664341.4273199094,19.08938950927133,20.57520980801736,2020-04-01
2023-09-02,600000,1671597.2238990474,19.168875864137686,21.537706394254542,2020-04-02
2023-09-05,600000,1676934.7593852216,19.227124449938593,17.808264077556757,2020-04-05
2023-09-06,600000,1676313.7328721343,19.22035686942108,15.857505033181708,2020-04-06
2023-09-07,600000,1686990.153484262,19.3363493448742,13.116773624782974,2020-04-07
2023-09-08,600000,1692404.597750426,19.394889283195262,12.007283674482883,2020-04-08
2023-09-12,600000,1694927.3560305247,19.422099969990693,16.195048608382173,2020-03-12
2023-09-13,600000,1704272.0251910998,19.52253550517624,17.47056835752833,2020-03-13
2023-09-14,600000,1711226.068522204,19.59691490271928,18.715009971407277,2020-03-14
2023-09-16,600000,1710441.6703642423,19.588540454934055,18.830078218724513,2020-03-16
2023-09-19,600000,1690680.037638764,19.376264327500934,25.627675457026992,2020-03-19
2023-09-20,600000,1689514.0555248368,19.36366098856923,24.462236930272,2020-03-20
2023-09-21,600000,1673943.3241922865,19.194502121455837,29.881650643806623,2020-03-21
2023-09-22,600000,1670383.6169011444,19.155605393124112,29.881650643806605,2020-03-22
2023-09-23,600000,1673145.19939794,19.18578836830523,29.88165064380662,2020-03-23
2023-09-26,600000,1666658.4858006155,19.11481080374439,23.354113197835268,2020-03-26
2023-09-27,600000,1671536.999617361,19.168217558425006,21.93092756253169,2020-03-27
2023-09-28,600000,1671443.1767491526,19.16719194184718,21.765093045745193,2020-03-28
2023-09-29,600000,1669666.3934933639,19.147182265244115,21.47607413585669,2020-03-29
2023-09-30,600000,1659245.7212588335,19.032062448856536,21.476074135856685,2020-03-30
2023-10-02,600000,1653572.0580546332,18.974550558914142,21.537706394254542,2020-04-02
2023-10-03,600000,1653755.9791011577,18.97658347210072,22.900090661831364,2020-04-03
2023-10-04,600000,1644501.7396458331,18.874008325790673,17.08567082915431,2020-04-04
2023-10-05,600000,1645532.6867250279,18.885464489916963,17.808264077556757,2020-04-05
2023-10-06,600000,1659050.978331795,19.03501171604898,15.857505033181708,2020-04-06
2023-10-10,600000,1666646.5222982424,19.118495434144258,10.37230833927938,2020-03-10
2023-10-11,600000,1676461.654093328,19.225804204417944,11.019779618095951,2020-03-11
2023-10-12,600000,1680983.07083081,19.275022292509753,16.195048608382173,2020-03-12
2023-10-13,600000,1675965.8943346178,19.22039938889358,17.47056835752833,2020-03-13
2023-10-16,600000,1683772.2397149499,19.30531691231013,18.830078218724513,2020-03-16
2023-10-17,600000,1689224.9883095669,19.36439515816141,21.856683553502034,2020-03-17
2023-10-18,600000,1676390.843466072,19.225032320261366,22.982031147845596,2020-03-18
2023-10-19,600000,1671725.9541148639,19.17410874532196,25.627675457026996,2020-03-19
2023-10-20,600000,1661040.85984056,19.056920286783445,24.462236930271995,2020-03-20
2023-10-23,600000,1648587.3607263444,18.91936604670382,29.881650643806626,2020-03-23
2023-10-24,600000,1635067.5559190935,18.768832491636857,30.04720091625307,2020-03-24
2023-10-25,600000,1634599.1136614974,18.76359404237596,25.484530269927408,2020-03-25
2023-10-26,600000,1614761.4445861191,18.5403412472159,23.35411319783527,2020-03-26
2023-10-27,600000,1633588.7385180828,18.75229011722229,21.930927562531696,2020-03-27
2023-10-30,600000,1637664.3730732326,18.796546397514554,21.476074135856685,2020-03-30
2023-11-01,600000,1634468.717634712,18.7572060691152,20.575209808017348,2020-04-01
2023-11-03,600000,1652884.6343999573,18.961971764861026,22.900090661831367,2020-04-03
2023-11-04,600000,1665880.710350864,19.10508306299869,17.085670829154314,2020-04-04
