end_date,invested_amount,final_value,xirr,max_drawdown,max_drawdown_date
2017-09-09,600000,1344980.7991999798,15.18406411903781,26.60353342497835,2008-10-09
2017-09-10,600000,1344997.939080263,15.184298152896353,25.58204363133279,2008-10-10
2017-09-13,600000,1359819.1479665765,15.38552776938883,19.79618711280041,2008-02-13
2017-09-14,600000,1365635.4795315126,15.463879020338167,17.007979753634793,2008-11-14
2017-09-16,600000,1371334.22437527,15.54031305805051,19.251194607359448,2008-10-16
2017-09-17,600000,1372481.6564504365,15.55566328529189,22.266318890113112,2008-10-17
2017-09-20,600000,1377616.141934467,15.624190180094613,24.82986625448145,2008-10-20
2017-09-21,600000,1375308.7774007034,15.593427810975314,22.11416672033661,2008-10-21
2017-09-22,600000,1351939.5959650918,15.27882956252877,25.740108627981375,2008-10-22
2017-09-23,600000,1333023.559974961,15.020040312118443,26.824533309934843,2008-10-23
2017-09-24,600000,1335720.6227626218,15.057169788473942,35.17476963914666,2008-10-24
2017-09-27,600000,1312616.0710225669,14.736554405458492,31.33953401416185,2008-10-27
2017-09-28,600000,1318161.6980199057,14.814038965542482,27.235867355284988,2008-10-28
2017-09-29,600000,1323435.7382541397,14.887028450260098,27.235867355284984,2008-10-29
2017-09-30,600000,1326711.337706895,14.93186876341197,24.171743878606733,2008-10-30
2017-09-30,600000,1325811.7146818002,14.923494097739903,24.17174387860674,2008-10-31
2017-10-03,600000,1319499.331590137,14.835780755916577,18.442560116990784,2008-11-03
2017-10-04,600000,1323969.3069152404,14.897937750351007,17.976699903769372,2008-10-04
2017-10-05,600000,1323469.7996984846,14.891002663216362,16.49435110684953,2008-10-05
2017-10-06,600000,1338941.0591939278,15.10455701425305,18.542918433118814,2008-10-06
2017-10-07,600000,1339973.148332341,15.118712363686296,18.905867162798273,2008-10-07
2017-10-10,600000,1345312.2406202068,15.191759875982802,25.582043631332787,2008-10-10
2017-10-11,600000,1338722.02959979,15.101551520603932,20.688699663738433,2008-02-11
2017-10-12,600000,1350650.6020473996,15.26449858780563,21.079370304971114,2008-02-12
2017-10-13,600000,1352540.0822320764,15.29017288590611,19.796187112800407,2008-02-13
2017-10-14,600000,1356848.1809050245,15.348573213403577,17.007979753634796,2008-11-14
2017-10-17,600000,1359640.5450228187,15.386324177751712,22.266318890113094,2008-10-17
2017-10-18,600000,1348170.620793587,15.230744200495755,21.91298142325104,2008-10-18
2017-10-19,600000,1345776.8125640808,15.198101809807026,25.215979838322145,2008-10-19
2017-10-20,600000,1348987.998866777,15.241876403057617,24.82986625448145,2008-10-20
2017-10-21,600000,1347917.5806462383,15.227296531303727,22.114166720336616,2008-10-21
2017-10-24,600000,1359397.2836256141,15.383038623955652,35.17476963914666,2008-10-24
2017-10-25,600000,1390481.2101603516,15.798029079798463,35.33082408874802,2008-10-25
2017-10-26,600000,1394363.8085118167,15.849191256075077,33.44546381243629,2008-10-26
2017-10-27,600000,1390843.2080786289,15.80280545336894,31.339534014161842,2008-10-27
2017-10-28,600000,1398465.8098414692,15.903085406019324,27.23586735528498,2008-10-28
2017-11-01,600000,1405654.6515117195,15.992961171301648,21.139657669369274,2008-11-01
2017-11-03,600000,1414246.8587741917,16.104708097780353,18.442560116990794,2008-11-03
2017-11-04,600000,1415059.423468224,16.115239821584154,17.97669990376938,2008-10-04
2017-11-05,600000,1416412.1220513838,16.132758477020673,16.494351106849546,2008-10-05
2017-11-08,600000,1395837.7695786045,15.86442277857875,21.350941938369886,2008-10-08
2017-11-09,600000,1397831.9640818299,15.89060915840587,26.60353342497835,2008-10-09
2017-11-10,600000,1405608.3576767559,15.992357189397435,25.582043631332795,2008-10-10
2017-11-11,600000,1397691.5099576646,15.888766072017301,20.688699663738436,2008-02-11
2017-11-12,600000,1398081.7385328973,15.893886311912334,21.07937030497112,2008-02-12
2017-11-15,600000,1383321.8585271467,15.699187378910077,18.445925007747142,2008-10-15
2017-11-16,600000,1393620.708599701,15.835264601745674,19.251194607359448,2008-10-16
2017-11-17,600000,1406181.2781945295,15.999830472194166,22.266318890113105,2008-10-17
2017-11-18,600000,1402353.1952773628,15.949836631328681,21.912981423251036,2008-10-18
2017-11-19,600000,1402851.2483172019,15.956349028778094,25.215979838322138,2008-10-19
2017-11-22,600000,1417870.1247244214,16.15162165210487,25.74010862798137,2008-10-22
2017-11-23,600000,1417653.6171850206,16.148821808206574,26.824533309934836,2008-10-23
2017-11-24,600000,1425137.6248254639,16.24534967448052,35.17476963914665,2008-10-24
2017-11-25,600000,1427593.731081858,16.276914680938646,35.330824088748,2008-10-25
2017-11-26,600000,1425992.4079003208,16.256341384492583,33.44546381243629,2008-10-26
2017-11-29,600000,1424507.5383567966,16.23681483469307,27.23586735528498,2008-10-29
2017-11-30,600000,1403871.7580496746,15.968632105822108,24.171743878606737,2008-10-30
2017-11-30,600000,1403120.832717781,15.963179854244622,24.17174387860673,2008-10-31
2017-12-01,600000,1384871.7832191077,15.722994339579904,21.139657669369278,2008-11-01
2017-12-02,600000,1382969.13011589,15.69776501649001,18.44256011699079,2008-11-02
2017-12-05,600000,1385033.0921543431,15.72513166521813,16.49435110684954,2008-10-05
2017-12-06,600000,1372591.609054,15.559525382890266,18.542918433118814,2008-10-06
2017-12-07,600000,1391632.5470694425,15.81235450547583,18.905867162798266,2008-10-07
2017-12-08,600000,1403474.129343485,15.967797974267475,21.350941938369882,2008-10-08
2017-12-12,600000,1406328.5543794609,16.005065781226612,21.07937030497112,2008-02-12
